date,USD,EUR,GBP
2025-12-09,1.163859,1,0.87386
2025-12-08,1.164011,1,0.873482
2025-12-07,1.163968,1,0.873584
2025-12-06,1.164546,1,0.872678
2025-12-05,1.164546,1,0.872973
2025-12-04,1.164246,1,0.873976
2025-12-03,1.166643,1,0.874014
2025-12-01,1.160626,1,0.878669
2025-11-30,1.160107,1,0.876275
2025-11-29,1.159549,1,0.875032
2025-11-28,1.159549,1,0.875032
2025-11-27,1.159945,1,0.876042
2025-11-26,1.160173,1,0.875999
2025-11-25,1.156443,1,0.878887
2025-11-24,1.151938,1,0.878975
2025-11-23,1.150728,1,0.87869
2025-11-22,1.151538,1,0.880414
2025-11-21,1.151538,1,0.878902
2025-11-20,1.153416,1,0.881515
2025-11-19,1.153935,1,0.88351
2025-11-18,1.158051,1,0.880871
2025-11-17,1.159031,1,0.881095
2025-11-16,1.161467,1,0.882691
2025-11-15,1.162723,1,0.884166
2025-11-14,1.162723,1,0.883528
2025-11-13,1.163057,1,0.884371
2025-11-12,1.159155,1,0.883004
2025-11-11,1.158708,1,0.880943
2025-11-10,1.155762,1,0.877375
